tweeter_screen_name,AGAINST,FOR,NOT_AGAINST,tweeter_label
CreightonNiall,1.0,0.0,0.0,AGAINST
hammerlady_1966,1.0,0.0,0.0,AGAINST
HeimMatthew,0.0,0.0,1.0,NOT_AGAINST
sarahs1401,0.0,0.0,1.0,NOT_AGAINST
Whenthe50930605,,,,NONE
alfabeto,,,,NONE
CentraILobby,1.0,0.0,0.0,AGAINST
DataDotcoaza,1.0,0.0,0.0,AGAINST
YorkshireLady3,1.0,0.0,0.0,AGAINST
exxcee1,0.0,0.0,1.0,NOT_AGAINST
swimmchupp,1.0,0.0,0.0,AGAINST
Abirdinthehand3,1.0,0.0,0.0,AGAINST
greatest_jaggi,0.0,0.0,1.0,NOT_AGAINST
ppjkis,0.0,0.0,2.0,NOT_AGAINST
nosafk,0.0,0.0,1.0,NOT_AGAINST
northenglander1,0.0,0.0,1.0,NOT_AGAINST
Randomshitwht,1.0,0.0,0.0,AGAINST
moha_297,2.0,0.0,0.0,AGAINST
Edgebo4,0.0,0.0,1.0,NOT_AGAINST
_JadeLouiseJ,1.0,0.0,0.0,AGAINST
bohemianwoman1,1.0,0.0,0.0,AGAINST
AmbushPredator,1.0,0.0,0.0,AGAINST
caroleanne327,0.0,0.0,1.0,NOT_AGAINST
OnlyEmjay,0.0,0.0,1.0,NOT_AGAINST
franerlarkin,0.0,0.0,1.0,NOT_AGAINST
leehump71,1.0,0.0,0.0,AGAINST
areallybighorse,0.0,0.0,1.0,NOT_AGAINST
jxmesll,1.0,0.0,0.0,AGAINST
MrRandomGuy93,0.0,0.0,1.0,NOT_AGAINST
TheWayI36131408,0.0,0.0,1.0,NOT_AGAINST
Hyper_SFC,1.0,0.0,1.0,NOT_AGAINST
coffey1_david,0.0,0.0,1.0,NOT_AGAINST
SeB_9320,0.0,0.0,1.0,NOT_AGAINST
Odie_RD,0.0,0.0,1.0,NOT_AGAINST
richardthegrump,0.0,0.0,1.0,NOT_AGAINST
GazCloono25,0.0,0.0,1.0,NOT_AGAINST
DisgruntledRob,0.0,0.0,1.0,NOT_AGAINST
thisisnorahere,1.0,0.0,0.0,AGAINST
Laigneach,1.0,0.0,0.0,AGAINST
v8vogue,1.0,0.0,0.0,AGAINST
chrissyyorkie,1.0,0.0,0.0,AGAINST
inebriated_the,1.0,0.0,0.0,AGAINST
JKLafterdark,1.0,0.0,0.0,AGAINST
kishesha08,0.0,0.0,1.0,NOT_AGAINST
roweyyo,1.0,0.0,0.0,AGAINST
SuddenLife,1.0,0.0,0.0,AGAINST
Piquadro3,1.0,0.0,1.0,NOT_AGAINST
AmberTwemlow,0.0,0.0,1.0,NOT_AGAINST
